12028500	11897,28452,22654,5302,17712,17662,13768
12154500	594,19650,27131,27623,17853,26920,4442,28973,9549,19413
1620500	13765
4716750	11897,264,202,14136
4844000	2635,9878,11391,21085
5654000	10868,6247,28719
5735000	11897,18606,1939,3071,8485
5780000	14120,16808,8191,25072,19339,2700,22261,13479,7215,12529,7107
6061250	264,202,15532,29450,10871,14136,26597
6458500	11897
7860250	11897,25318
8622000	11272,20330
8869250	28690,17452
10224750	26679,16481,22052,7053,12280
10229250	11897,25884,4293,22092,2805
10302500	11664,28719,1530,19459
1110750	19402,23311,19325,27629
12015000	11664,11897,17662,21237
12173500	6247,16748,22232,488
12388250	25318,18805,11897
1971500	11897,25318,28146,9440,19038,15501
2626250	1879,13284,4195
3963750	11664,11897,28719,17590,10051
434750	17712,5223,8648,23315
5220750	17452,16187,12459,1056,24979
5254500	11897,25318,18805,17287,16286
5948500	7504,4293,26662,16997
6067750	25318
6571000	11897,16853,19736,9178,8872,3477
6849750	11897,202,264,10868
7703750	11897,6247,22060,8838,1109
8149250	11664,25318,18805,1530,4258,25232,17249
8757750	10409,26169,26662
9288000	10868
10696000	20761,7172,22358,22471,10597
11391250	20096,4214,16853
1661750	202,264,8370,26719,26597
1832000	11897,25318,11272
2771250	6247,7505,14403,270,7546,21955,26884,15609,18654,22232,488,480
2852250	23953,4171,14772,26297,26219,20674,9462,7870,2464,1704,18296,28177
3211250	11897,25318,18805
3581250	28719,17590,10051,22260,14585,616
4256500	5302,23315,28683,3334,9248,27624
5034000	11897,25318,18805,6247,17977
5901250	6247,5380,1109,8838,2345
6257000	11664,1530,20681
6996000	21987,10742
9720000	14120,16808,8191,11897,25072
10057000	11897,5469
11362000	2635,21085,11391,9878
11687000	202,264,8370,26597,19578
11847750	11897
12008000	11897,17662,9248,13768
12215000	11897,25318,18805,28719,17977,4247,1829,3010,2616
1969000	11272,21727,15511,8964
2132250	14120
3089500	26679,16481,22052,2142
4770500	11897,8485,27020,15501,11956,25643
4809750	28719,17590,10051,23529
7002750	11897
799000	11897,27153,3392,7395
8102000	11897,28719,17590
8666500	11897,9440,15501,2125
9035750	25318
9163000	11664,17853,19650,594,27131
9244000	27601,8761,16853,10742,11326,3477
1046250	25318,11897,18805
10768750	2635,9878,11391,21085
11339250	11897
1904750	13765,6364,26109,1506,1654
1906000	11897,6363,12904,6065
1909250	28719,10051,17590,16655,5721,1969,26225
2138750	17977,2616,4090,17249
2476250	15628,29475,16187,24979,26211
2874500	11664,11897,1530,14118,2538,19459
2921750	11897,21237,17662,13768,22654,28683
317500	11272,6300,10064
3524750	25318,18805,11897
39750	22654,2829,9248
4184250	18635,5265,9565,1879,17271,3890,15399
4215750	2635,11391,9878,21085,12251,2067,2837,8922,21522,2744,8271
4956000	202,264,19578,19117,2203,15532
5108000	25318,11897,18805,28719,17590
6874250	25318,18805,17977,17249,24262
8040000	22914,23285,13872,9792,22607,6411,12134,1925,9046,22625,12563
9103250	26679,16481,22052
9344000	19402,23311,1193,5051
10095000	25318,18805,28719
10831750	202,264
11434750	28719,10051,17590,16655,22260
2078000	28719,17590,10051,1969,5721
3257000	11664,1530,10265,2538
3590000	28719,17590,10051,616,22260,23529
3787750	28719,17590,10051,24855
5898500	19402,26224,19325
591750	11897,936,3071,1939,27020
6523250	14734,26693,10863
7367000	11897,28719,10051,17590,16655
7687500	11897,25318,18805,11664,27153,6699,7395
9811750	13765,6364,23056,4088
10064500	13765,6364,11602
11340250	17288,4387,18112,29328
11612500	10868,25318,9275,18805
2676250	28452,13768,22654,21237,17662,27593,5302
3035250	14848,5517,24979
3226500	202,264
371250	1341,9421,2101,9565,17121,27945
42000	11897,17287,16286,22358,18474,11120,29421,12904,1828,10479,6065,19536
4994000	11897,27153,1217
5754500	11897,5223,13768,2829,17662
7787500	28719,11897
8649250	11826,25138,9621,22072
887500	25884,14389
9173750	11897,3644,2016,12555,10863
9628250	11897,2635
9706000	13765,6364,10463,26109,11602,16507,7839,13500,3639,2954,22349,4088
981000	28719,10051,17590,5721,24855,18649
10054250	264,202,19117,15098,19578
10619000	25318,18805,11272
1459750	28719,17590,10051,16723,616
1966250	26153,2212,7558,3477,20096
3054250	11664,11897
3293750	28719,17590,10051,616,27343
3952000	28719,11897,17590,10051,18649
4850000	11897,28683,17662,27593,8648,2829
4963500	11897,18474,10597
5082750	11897,11664,6065,4743
5906250	16187,1056,28690,14032,15628
5980500	11272,14184,16596
10393750	25318,28719,10051
11493000	26679,11897,16481
11894500	28719
12231250	14772,20674,9462,7870,4171
1446250	11897,14848,5517
1985250	28719,10051,17590,22260,23529
3188000	10868
3520000	11897,28719,10051,17590,14585,16655,24855
364250	11897
38250	28719,17590,10051,9823,23262,16655,1969,16723,27343,23529,18649
4421250	8872,11398,26153,20096
5959000	11897,25318,18805,28719,6213
6247250	28719,17590,10051,27343,5721,23262,9823,23529,16723,14585,16655
6564500	25318,28719,17977,24036,4090,1829
7345250	11897
7699500	25318,18805,11272,16596
83250	8624,22258,17288
10047250	11664,1530,28461,9126,20681
11142000	11897,25318,28719,17590
1381000	25318,18805,28719
2428500	2101,27945,17121,20507,26316,1341,15399,17271
380000	11897,12459,29475
4102750	11897,28683,27624,13768,27593
4922750	11897,25318,18805,26662,25523
5027500	11826,25138,22593
5769750	202,264,14136,26597,8370,10871,15098
5847500	27601,21987,2212,11326,19736
6619500	11897,28719
7927750	11897,25318,28719
8129250	20096,11398,10742,19736,4214,11326
10018000	202,264,2203,8370,13293
10063000	28719,10051
10257500	17106,7901,3644,8272
10309250	11664,28719,10051,17590,14585
11111500	6247,15609,2345,270
11321750	11897,25318,11664,18805,18832,12213,28209
1148000	11897
11936000	11897,8485,28146,936,15501
12337750	2736,17106,2016,10863,14734
1240250	13765,6364,26109,7242
145750	26679,16481,22052
1517000	11897,14120
1812000	11897,25318,18805
2251750	11897,27624,13768
2492500	28719,17590,10051,26225,16655,1969,23262,18649
5012750	11897,11272,19577,10064,14184
5143250	11897,24272,5703,8485,28146,27020
6848750	264,202,15098,10871,29450,8863,19117,26719,13293,26597,19578,8370
7286500	2635
7545250	12844,5265,17121,18589
8271000	28719
8997500	28719,17590
9782000	14120,16808,8191
10069500	11897,2125,19038,8371
10401500	9421,13284,5265,3890,20507,17121
10774750	11897,25318,18805,28719
11874000	23032,6214,8624,28737,15464
1324500	25318,11664,18805,28719
3981750	25318,26679,18805,16481,22052
452750	25318,18805,4247,25232
47000	2016,22934,4089,22048
5068750	4355,12146,11566
6003750	11897,25318,28719,17590,10051
6754250	28719,10051,17590
6867750	28690,17452,9252
7016500	11664,11897,1530,1002,26887,2538
7320250	10868
7886000	17712,21237,2829,5223,5302,27593,28683,17662,23315,28452,8648,3334
8033500	14120,8191,16808,25072,2700
10261750	25318,18805,17977,4258
10588000	28719,17590,10051,24855
10790500	11326,12233,10731,19736
11730000	12213,18832,28209,18747,4833,21216,6196,10096
11972750	28719,17590,10051,616
1724000	11897,5703,24272,2125,6213
2168250	4171,23953,7870,2464
2870250	11897,28719,17590,10051
3795000	28719,17590,10051,9823
4853750	19402,26224,17199
4902250	11897,28719,9421,18635,9565,5265
5052000	202,264,8863,15098,19578
6400000	11897,25318,18832,12213
711500	11897,11272
9437500	11897,24272,27020
10492250	10868,9275,20166,11436,15362,28467,20696,6177,18157,22088
10609250	25318,202
1074500	11897,26211,16187
10845500	28719,10051,17590
11496750	23953,20674,4171,9462,7870
154500	16941,5893,22934,12555,10863,3644,24027
1953250	11897,5469,15464,26612,28737
2182750	11897,11664,264
2378500	11664,13765,6364
2920750	11897,25318,18805,28719,11664,17590
3075000	26612,4387,28737
3363000	11897,11664,1530,23085
4004500	11897,3334,27593,17712,17662
4054000	12844,18635,27945
4133750	11897,11120,6363,12904,20761,10479
5187750	3890,9421,1341
573000	2464,9462,23953,26219,14772,7870,26297
7103000	11897,25318,18805,28719
7269250	11664,10868,9252
7476250	25318,18805,11664
848500	11664,1530,5789,19169,28461,14118
9212500	11897,27153,1217,18966,21079,7395
9794000	11897
9906500	11897,28719,12213,18832
11032250	14120,16808,8191,25072
1140750	25318,18805,11897,25232,24262,2616
11564250	9178,11326,4214,8872,7558
2200750	11664,25318,2635
2688750	11664,11897,1530
2737250	25318,18805,19402
4186500	264
5239500	2016,16941,8272,25103
5491500	11664,11897,1530,9126,26887,13758,19459
5994250	11897,25318,18805,28058,17249
6766250	202,264,19117,26719,8370,10871
6957500	28719,11897,10051,17590,1969,5721
7657250	11897,11664,12213,18832
835000	11897,28719,17590,10051
8702500	11897,28719,17590,10051,24855
8949750	11897,27153,19367,6588
